name,slug,category,description,city,address,lat,lng,website,phone,email,image_url,sens_noise_1to5,sens_light_1to5,sens_crowd_1to5,sens_quiet_room,sens_headphones,sens_staff_trained,sens_certification,sens_last_verified,sens_score_avg,sens_accessibility_summary,category_tags,AI Sensory Accessibility Summary,Geocode Status,Review Status,Last Verified Age
Totteridge Park,totteridge-park-ottawa,Park,,Ottawa,11 Totteridge Avenue,45.28,-75.74,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Finchley Park,finchley-park-ottawa,Park,,Ottawa,7 Finchley Drive,45.28,-75.73,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Tierney Park,tierney-park,Park,,,50 Heritage Glen Drive,45.28,-75.72,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Edge Park,edge-park,Park,,,,43.72,-79.30,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Fred Hamilton Playground,fred-hamilton-playground-toronto,Park,,Toronto,155 Roxton Road,43.65,-79.42,https://www.toronto.ca/data/parks/prd/facilities/complex/72/index.html,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Queen's Park,queen-s-park,Park,,,,44.56,-80.94,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Harrison Park,harrison-park,Park,,,,44.55,-80.94,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Fisher Heights Park,fisher-heights-park,Park,,,31 Sutton Place,45.37,-75.72,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
St. Patrick's Square,st-patrick-s-square,Park,,,,43.65,-79.39,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Fitzroy Harbour Community Centre and Campbell Bicentennial Park,fitzroy-harbour-community-centre-and-campbell-bicentennial-park,Park,,,100 Clifford Campbell Street,45.47,-76.21,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Fallingbrook Park,fallingbrook-park,Park,,,681 Deancourt Crescent,45.48,-75.49,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Apollo Crater Park,apollo-crater-park,Park,,,600 Apollo Way,45.48,-75.49,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Father Richard Ward Park,father-richard-ward-park,Park,,,1073 Chablis Park,45.47,-75.55,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Bilberry Park,bilberry-park,Park,,,6600 Bilberry Drive,45.48,-75.53,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Terry Fox Participark,terry-fox-participark,Park,,,6460 Jeanne-d'Arc Boulevard North,45.48,-75.54,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Pierre Rocque Park,pierre-rocque-park,Park,,,1257 Joseph Drouin Avenue,45.48,-75.53,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Fairmile Estates Park,fairmile-estates-park,Park,,,2549 Donnelly Drive,45.07,-75.66,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Houlahan Park,houlahan-park,Park,,,44 Tartan Drive,45.27,-75.76,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
David Bartlett Park,david-bartlett-park-ottawa,Park,,Ottawa,5201 McLean Crescent,45.24,-75.70,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Malvern Park,malvern-park,Park,,,100 Malvern Drive,45.28,-75.76,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Leslie Park,leslie-park,Park,,,21 A Dayton Crescent,45.33,-75.79,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Chamberlain Park,chamberlain-park,Park,,,80 Chamberlain Avenue,45.41,-75.70,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Craig Henry Park,craig-henry-park,Park,,,135 Craig Henry Drive,45.33,-75.78,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Patterson's Creek Park,patterson-s-creek-park,Park,,,524 O'Connor Street,45.41,-75.69,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Central Park,central-park,Park,,,19 Clemow Avenue,45.41,-75.69,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Bronson Park,bronson-park,Park,,,506 Commissioner Street,45.42,-75.71,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Rose Park,rose-park,Park,,,310 Bruyère Street,45.43,-75.69,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Lindenlea Park,lindenlea-park,Park,,,15 Rockcliffe Way,45.44,-75.68,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Jean Sibelius Square,jean-sibelius-square-toronto,Park,,Toronto,50 Kendal Avenue,43.67,-79.41,https://www.toronto.ca/data/parks/prd/facilities/complex/151/index.html,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Clarence Square,clarence-square-toronto,Park,,Toronto,25 Clarence Square,43.64,-79.39,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Robarts Library,robarts-library-toronto,Library,,Toronto,St George Street,43.66,-79.40,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
John M. Kelly Library - St. Michael’s College,john-m-kelly-library-st-michael-s-college-toronto,Library,,Toronto,113 St. Joseph Street,43.66,-79.39,https://library.stmikes.utoronto.ca,+1 4169267114,kelly.library@utoronto.ca,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Bruce Pit,bruce-pit,Park,,,,45.32,-75.80,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Miles Nadal Jewish Community Centre,miles-nadal-jewish-community-centre-toronto,Community Centre,,Toronto,750 Spadina Avenue,43.67,-79.40,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Gwendolyn MacEwen Parkette,gwendolyn-macewen-parkette-toronto,Park,,Toronto,33 Walmer Road,43.67,-79.41,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
St. Alban's Square,st-alban-s-square-toronto,Park,,Toronto,90 Howland Avenue,43.67,-79.41,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1102,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Vermont Square Park,vermont-square-park-toronto,Park,,Toronto,819 Palmerston Avenue,43.67,-79.42,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
E. J. Pratt Library - Victoria University,e-j-pratt-library-victoria-university-toronto,Library,,Toronto,71 Queen's Park Crescent East,43.67,-79.39,https://library.vicu.utoronto.ca,+1-416-585-4470,victoria.library@utoronto.ca,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Sir Wilfrid Laurier Park,sir-wilfrid-laurier-park,Park,,,288 Chapel Street,45.43,-75.68,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Jesse Ketchum Park,jesse-ketchum-park,Park,,,,43.67,-79.39,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Paul Martel Park,paul-martel-park-toronto,Park,,Toronto,10 Madison Avenue,43.67,-79.40,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Highland Creek Ravine,highland-creek-ravine,Park,,,,43.77,-79.16,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Optimist Park,optimist-park,Park,,,,45.44,-76.34,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Assumption Park;Windsor Sculpture Park,assumption-park-windsor-sculpture-park,Park,,,,42.31,-83.07,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
Dymond Recreation Park,dymond-recreation-park,Park,,,,47.54,-79.67,,,,,,,,,,,,,NaN,,,,✅ Geocoded,Needs Review,NaN
