name,slug,category,description,city,address,lat,lng,website,phone,email,image_url,sens_noise_1to5,sens_light_1to5,sens_crowd_1to5,sens_quiet_room,sens_headphones,sens_staff_trained,sens_certification,sens_last_verified
Rathwood District Park,rathwood-district-park,Park,,Mississauga,,43.6199766,-79.6159622,,,,,,,,,,,,
Golden Orchard Park,golden-orchard-park,Park,,Mississauga,,43.6221068,-79.6075805,,,,,,,,,,,,
Shelby Park,shelby-park,Park,,Mississauga,,43.6146728,-79.6207045,,,,,,,,,,,,
Windrush Woods,windrush-woods,Park,,Mississauga,2780 Gulfstream Way,43.5975836,-79.7713548,,,,,,,,,,,,
Point Pelee National Park,point-pelee-national-park,Park,,Leamington,,41.8345185,-82.5948376,https://www.pc.gc.ca/en/pn-np/on/pelee,+1-888-773-8888,,,,,,,,,,
Biener's Bush,bieners-bush,Park,,Port Elgin,,44.4533916,-81.3969488,,,,,,,,,,,,
Lebovic Campus,lebovic-campus,Community Centre,,Vaughan,9600 Bathurst Street,43.8534359,-79.4623495,,,,,,,,,,,,
Godwick Green,godwick-green,Park,,Mississauga,,43.6229912,-79.7414585,,,,,,,,,,,,
Old Ridge Park,old-ridge-park,Park,,Mississauga,,43.624631,-79.7287725,,,,,,,,,,,,
Bluffer's Park,bluffers-park,Park,,Toronto,,43.7080671,-79.2343788,,,,,,,,,,,,
Alex Robertson Park,alex-robertson-park,Park,,Pickering,,43.8150567,-79.0728563,,,,,,,,,,,,
Rotary Park,rotary-park,Park,,Pickering,,43.8109532,-79.0938675,,,,,,,,,,,,
Beachfront Park,beachfront-park,Park,,Pickering,,43.8119848,-79.0806166,,,,,,,,,,,,
Dixie Woods Park,dixie-woods-park,Park,,Mississauga,,43.6198974,-79.6004185,,,,,,,,,,,,
Kennedy Park,kennedy-park,Park,,Mississauga,3505 Golden Orchard Drive,43.6175813,-79.5995229,https://www.mississauga.ca/events-and-attractions/parks/kennedy-park/,,,,,,,,,,,
Hnatyshyn Park,hnatyshyn-park,Park,,Greater Sudbury,,46.4935149,-80.990346,,,,,,,,,,,,
Queen's Athletic Field,queens-athletic-field,Park,,Greater Sudbury,,46.4917274,-81.0059376,,,,,,,,,,,,
Memorial Park,memorial-park,Park,,Greater Sudbury,,46.4902154,-80.9925745,,,,,,,,,,,,
Tom Davies Square,tom-davies-square,Park,,Greater Sudbury,,46.4904521,-80.9905411,,,,,,,,,,,,
Eyre Playground,eyre-playground,Park,,Greater Sudbury,,46.4982089,-80.9639852,,,,,,,,,,,,
Eastern Avenue Park,eastern-avenue-park,Park,,Tottenham,35 Eastern Avenue,44.0280333,-79.8031017,,,,,,,,,,,,
Joan Sutherland Park,joan-sutherland-park,Park,,Tottenham,,44.029192,-79.8019838,,,,,,,,,,,,
O'Connor Park,oconnor-park,Park,,Greater Sudbury,,46.5055469,-80.99169,,,,,,,,,,,,
Percy Park,percy-park,Park,,Greater Sudbury,,46.5070726,-80.9813324,,,,,,,,,,,,
Diorite Playground,diorite-playground,Park,,Greater Sudbury,,46.4795143,-81.0650683,,,,,,,,,,,,
Victory Park,victory-park,Park,,Greater Sudbury,,46.5050432,-81.0063818,,,,,,,,,,,,
Ryan Heights Playground,ryan-heights-playground,Park,,Greater Sudbury,,46.507838,-80.9930222,,,,,,,,,,,,
Optimist Harbourview Park,optimist-harbourview-park,Park,,Collingwood,,44.5043657,-80.2284681,,,,,,,,,,,,
Adamsdale Playground,adamsdale-playground,Park,,Greater Sudbury,,46.4969397,-80.9348928,,,,,,,,,,,,
Bancroft Waterfront Park,bancroft-waterfront-park,Park,,Greater Sudbury,,46.4937326,-80.9540158,,,,,,,,,,,,
Bobbie Rosenfeld Park,bobbie-rosenfeld-park-toronto,Park,,Toronto,294 Bremner Boulevard,43.6418631,-79.3873695,,,,,,,,,,,,
Meatbird Park,meatbird-park,Park,,Greater Sudbury,,46.4503419,-81.1507346,,,,,,,,,,,,
Fielding Memorial Park,fielding-memorial-park,Park,,Greater Sudbury,,46.4272733,-81.09505,,,,,,,,,,,,
Parkview Gardens Parkette,parkview-gardens-parkette-toronto,Park,,Toronto,34 Parkview Gardens,43.6534428,-79.4694312,https://www.toronto.ca/data/parks/prd/facilities/complex/271/index.html,,,,,,,,,,,
Blackfriar Park,blackfriar-park-etobicoke,Park,,Etobicoke,41 Bridlesburg Drive,43.6951015,-79.5622164,,,,,,,,,,,,
East End Playground,east-end-playground,Park,,Greater Sudbury,,46.4898701,-80.9111092,,,,,,,,,,,,
Lion's Can-Amera Park,lions-can-amera-park,Park,,Cambridge,,43.3886697,-80.294114,,,,,,,,,,,,
Autumnwood Playground,autumnwood-playground,Park,,Greater Sudbury,,46.4908961,-80.9241497,,,,,,,,,,,,
Grace Sprots Field,grace-sprots-field,Park,,Greater Sudbury,,46.4891138,-80.9297618,,,,,,,,,,,,
Korpela Park,korpela-park,Park,,Greater Sudbury,,46.4849917,-80.93383,,,,,,,,,,,,
Weaver Park,weaver-park,Park,,Cambridge,,43.4194974,-80.3155947,,,,,,,,,,,,
Woodland Park,woodland-park,Park,,Cambridge,,43.4287686,-80.3061614,,,,,,,,,,,,
Forbes Park,forbes-park,Park,,Cambridge,,43.4308647,-80.3076406,,,,,,,,,,,,
Ridgemount Playground,ridgemount-playground,Park,,Greater Sudbury,,46.4914149,-80.9008922,,,,,,,,,,,,
Dorset Tot Lot,dorset-tot-lot,Park,,Greater Sudbury,,46.4866703,-80.9150399,,,,,,,,,,,,
Moonlight Beach Park,moonlight-beach-park,Park,,Greater Sudbury,,46.474722,-80.9094451,,,,,,,,,,,,
Camp Sudaca,camp-sudaca,Park,,Greater Sudbury,,46.4714766,-80.9121306,,,,,,,,,,,,
Bob Abate Community recreation Centre,bob-abate-community-recreation-centre,Community Centre,,Toronto,,43.6624041,-79.4203145,,,,,,,,,,,,
Christie Pits Park,christie-pits-park-toronto,Park,,Toronto,750 Bloor Street West,43.6647143,-79.4209933,https://www.toronto.ca/data/parks/prd/facilities/complex/196/index.html,,,,,,,,,,,
Annie Pootoogook Park,annie-pootoogook-park,Park,,Ottawa,250 Somerset Street East,45.4222633,-75.6772013,,,,,,,,,,,,
Underpass Park,underpass-park,Park,,Toronto,,43.6556572,-79.3548058,,,,,,,,,,,,
Garrigan Park,garrigan-park,Park,,Kingston,,44.2232605,-76.5190454,,,,,,,,,,,,
Churchill Park,churchill-park,Park,,Kingston,,44.2332227,-76.507909,,,,,,,,,,,,
Memorial Centre,memorial-centre,Park,,Kingston,,44.2399816,-76.5001092,,,,,,,,,,,,
City Park,city-park,Park,,Kingston,,44.225318,-76.4885386,,,,,,,,,,,,
Oakridge Park,oakridge-park,Park,,Kingston,2 Oakridge Avenue,44.2276416,-76.5119041,,,,,,,,,,,,
Compton Park,compton-park,Park,,Kingston,,44.2347278,-76.5108092,,,,,,,,,,,,
Royal Ontario Museum,royal-ontario-museum-toronto,Museum,,Toronto,100 Queen's Park,43.6677062,-79.3946899,https://www.rom.on.ca/en,+1-416-586-8000,,,,,,,,,,
Kingston Penitentiary,kingston-penitentiary-kingston,Museum,,Kingston,560 King Street West,44.2193625,-76.5134918,https://www.kingstonpentour.com/,,,,,,,,,,,
Max Jackson Memorial Park,max-jackson-memorial-park,Park,,Kingston,,44.2509075,-76.5033306,,,,,,,,,,,,
Ronald Lavallee Memorial Kiwanis Park,ronald-lavallee-memorial-kiwanis-park,Park,,Kingston,,44.2460851,-76.5003747,,,,,,,,,,,,
Third Avenue Park,third-avenue-park,Park,,Kingston,,44.2453299,-76.5056714,,,,,,,,,,,,
Burnett Park,burnett-park,Park,,Ottawa,135 Sherway Drive,45.2771321,-75.7602912,,,,,,,,,,,,
Weybridge Park,weybridge-park-ottawa,Park,,Ottawa,75 Flanders Street,45.2699835,-75.7699474,,,,,,,,,,,,
Redpine Park,redpine-park,Park,,Ottawa,11 Redpine Drive,45.3498151,-75.7215513,,,,,,,,,,,,
Borden Farm Park,borden-farm-park,Park,,Ottawa,,45.3469629,-75.7221513,,,,,,,,,,,,
Raoul Wallenberg Park,raoul-wallenberg-park,Park,,Ottawa,397 Viewmount Drive,45.3508027,-75.7133315,,,,,,,,,,,,
Gilbey Park,gilbey-park,Park,,Ottawa,17 Gilbey Drive,45.3592974,-75.7330764,,,,,,,,,,,,
Nepean Creek Park,nepean-creek-park,Park,,Ottawa,,45.3471417,-75.7131313,,,,,,,,,,,,
Victoria Park,victoria-park,Park,,Kingston,,44.2335015,-76.4988364,,,,,,,,,,,,
Highgate Park,highgate-park,Park,,Kingston,,44.2486967,-76.6071693,,,,,,,,,,,,
Comrade W. C. Warnica Memorial Park,comrade-w-c-warnica-memorial-park,Park,,Kingston,,44.2443859,-76.603492,,,,,,,,,,,,
Amherstview Centennial Park,amherstview-centennial-park,Park,,Loyalist,,44.2249089,-76.6369926,,,,,,,,,,,,
Eastside Park,eastside-park,Park,,Loyalist,,44.2260428,-76.6326599,,,,,,,,,,,,
Willie Pratt Sport Field,willie-pratt-sport-field,Park,,Loyalist,,44.226793,-76.6402647,,,,,,,,,,,,
Jorene Park,jorene-park,Park,,Kingston,,44.2131467,-76.573848,,,,,,,,,,,,
Trillium Ridge Park,trillium-ridge-park,Park,,Kingston,,44.2523396,-76.5510002,,,,,,,,,,,,
Somerset Park,somerset-park,Park,,Kingston,,44.2506409,-76.5769279,,,,,,,,,,,,
Ashton Park,ashton-park,Park,,Kingston,,44.245669,-76.5811815,,,,,,,,,,,,
Bexleygate Park,bexleygate-park,Park,,Kingston,,44.2533028,-76.5614656,,,,,,,,,,,,
Bayridge Park,bayridge-park,Park,,Kingston,,44.2479701,-76.5922983,,,,,,,,,,,,
Cataraqui Woods Park,cataraqui-woods-park,Park,,Kingston,,44.2638305,-76.5797965,,,,,,,,,,,,
Hardy Park,hardy-park,Park,,Brockville,,44.5861938,-75.685033,,,,,,,,,,,,
McCollough Park,mccollough-park,Park,,Kingston,,44.2367077,-76.530575,,,,,,,,,,,,
Boucher Park,boucher-park,Park,,Kingston,,44.229729,-76.4826734,,,,,,,,,,,,
Richdale Park,richdale-park,Park,,Kingston,,44.2585082,-76.4541105,,,,,,,,,,,,
Molly McGlynn Park,molly-mcglynn-park,Park,,Kingston,,44.2663474,-76.4483671,,,,,,,,,,,,
Glen Elm,glen-elm,Park,,Waterloo,,43.4914647,-80.5428382,,,,,,,,,,,,
Douglas Library,douglas-library-kingston,Library,,Kingston,93 University Avenue,44.227353,-76.495017,https://library.queensu.ca/locations/douglas-library,+1 613-533-2610,,,,,,,,,,
Stauffer Library,stauffer-library-kingston,Library,,Kingston,101 Union Street,44.2285317,-76.4961991,https://library.queensu.ca/locations/stauffer-library,+1 613-533-2524,,,,,,,,,,
Ben Franklin Park East,ben-franklin-park-east,Park,,Ottawa,180 Knoxdale Road,45.3250364,-75.7695005,,,,,,,,,,,,
Ben Franklin Park West,ben-franklin-park-west,Park,,Ottawa,24 Gibbard Avenue,45.324038,-75.7746957,,,,,,,,,,,,
Arlington Woods Park,arlington-woods-park,Park,,Ottawa,,45.3221907,-75.7858376,,,,,,,,,,,,
Bateman Park,bateman-park,Park,,Ottawa,24 Bateman Drive,45.3276577,-75.7739433,,,,,,,,,,,,
Pinecrest Recreation Complex and Park,pinecrest-recreation-complex-and-park,Park,,Ottawa,2250 Torquay Avenue,45.3498443,-75.774828,https://ottawa.ca/en/residents/parks-and-recreation/recreation-facilities/recreation-centre-locations/pinecrest,,,,,,,,,,,
Queenston Heights Park,queenston-heights-park,Park,,Kingston,,44.2361112,-76.4522128,,,,,,,,,,,,
Dominion Arboretum,dominion-arboretum,Park,,Ottawa,,45.3907686,-75.704659,,,,,,,,,,,,
Garden Walk Park,garden-walk-park,Park,,Kingston,,44.2546143,-76.5964816,,,,,,,,,,,,
Dunham Park,dunham-park,Park,,Kingston,,44.2553639,-76.602689,,,,,,,,,,,,
Bridlepath Park,bridlepath-park,Park,,Kingston,,44.2540701,-76.5908149,,,,,,,,,,,,
Confederation Park,confederation-park,Park,,Kingston,,44.2294624,-76.4796957,,,,,,,,,,,,
Curran Hall Ravine,curran-hall-ravine,Park,,Toronto,,43.7663311,-79.212433,,,,,,,,,,,,
Wanita Park,wanita-park,Park,,Toronto,,43.777301,-79.154574,,,,,,,,,,,,
Guild Park and Gardens,guild-park-and-gardens,Park,,Toronto,,43.745494,-79.1896732,,,,,,,,,,,,
Grange Park,grange-park-toronto,Park,,Toronto,Beverley Street,43.6522161,-79.3922434,,,,,,,,,,,,
Heron Park Community Complex,heron-park-community-complex-scarborough,Community Centre,,Scarborough,292 Manse Road,43.7688471,-79.1772576,,,,,,,,,,,,
Mulligan Park,mulligan-park,Park,,Ottawa,70 Mountshannon Drive,45.2919292,-75.7360228,,,,,,,,,,,,
Wexford Park,wexford-park,Park,,Toronto,55 Elm Bank Road,43.7339977,-79.2967591,,,,,,,,,,,,
Totteridge Park,totteridge-park-ottawa,Park,,Ottawa,11 Totteridge Avenue,45.2824721,-75.7363918,,,,,,,,,,,,
Finchley Park,finchley-park-ottawa,Park,,Ottawa,7 Finchley Drive,45.2785418,-75.7299055,,,,,,,,,,,,
Tierney Park,tierney-park,Park,,Ottawa,50 Heritage Glen Drive,45.2763683,-75.7233913,,,,,,,,,,,,
Edge Park,edge-park,Park,,Toronto,,43.7174355,-79.2975883,,,,,,,,,,,,
Fred Hamilton Playground,fred-hamilton-playground-toronto,Park,,Toronto,155 Roxton Road,43.6528623,-79.4202801,https://www.toronto.ca/data/parks/prd/facilities/complex/72/index.html,,,,,,,,,,,
Queen's Park,queens-park,Park,,Owen Sound,,44.564644,-80.944442,,,,,,,,,,,,
Harrison Park,harrison-park,Park,,Owen Sound,,44.5492465,-80.9354651,,,,,,,,,,,,
Fisher Heights Park,fisher-heights-park,Park,,Ottawa,31 Sutton Place,45.3650201,-75.7211355,,,,,,,,,,,,
St. Patrick's Square,st-patricks-square,Park,,Toronto,,43.650695,-79.39067,,,,,,,,,,,,
Fitzroy Harbour Community Centre and Campbell Bicentennial Park,fitzroy-harbour-community-centre-and-campbell-bicentennial-park,Park,,Ottawa,100 Clifford Campbell Street,45.4694171,-76.2061645,,,,,,,,,,,,
Fallingbrook Park,fallingbrook-park,Park,,Ottawa,681 Deancourt Crescent,45.4816986,-75.4895302,,,,,,,,,,,,
Apollo Crater Park,apollo-crater-park,Park,,Ottawa,600 Apollo Way,45.4755722,-75.4884898,,,,,,,,,,,,
Father Richard Ward Park,father-richard-ward-park,Park,,Ottawa,1073 Chablis Park,45.4696932,-75.5499078,,,,,,,,,,,,
Bilberry Park,bilberry-park,Park,,Ottawa,6600 Bilberry Drive,45.4783404,-75.5309583,,,,,,,,,,,,
Terry Fox Participark,terry-fox-participark,Park,,Ottawa,6460 Jeanne-d'Arc Boulevard North,45.4756586,-75.5381415,,,,,,,,,,,,
Pierre Rocque Park,pierre-rocque-park,Park,,Ottawa,1257 Joseph Drouin Avenue,45.4752075,-75.525915,,,,,,,,,,,,
Fairmile Estates Park,fairmile-estates-park,Park,,Ottawa,2549 Donnelly Drive,45.06564,-75.662232,,,,,,,,,,,,
Houlahan Park,houlahan-park,Park,,Ottawa,44 Tartan Drive,45.266598,-75.762368,,,,,,,,,,,,
David Bartlett Park,david-bartlett-park-ottawa,Park,,Ottawa,5201 McLean Crescent,45.244901,-75.6992805,,,,,,,,,,,,
Malvern Park,malvern-park,Park,,Ottawa,100 Malvern Drive,45.2809142,-75.7615369,,,,,,,,,,,,
Leslie Park,leslie-park,Park,,Ottawa,21 A Dayton Crescent,45.3349539,-75.7877476,,,,,,,,,,,,
Chamberlain Park,chamberlain-park,Park,,Ottawa,80 Chamberlain Avenue,45.406236,-75.6957335,,,,,,,,,,,,
Craig Henry Park,craig-henry-park,Park,,Ottawa,135 Craig Henry Drive,45.3338453,-75.7774715,,,,,,,,,,,,
Patterson's Creek Park,pattersons-creek-park,Park,,Ottawa,524 O'Connor Street,45.4073967,-75.6852651,,,,,,,,,,,,
Central Park,central-park,Park,,Ottawa,19 Clemow Avenue,45.4066708,-75.6913033,,,,,,,,,,,,
Bronson Park,bronson-park,Park,,Ottawa,506 Commissioner Street,45.4171867,-75.7104456,,,,,,,,,,,,
Rose Park,rose-park,Park,,Ottawa,310 Bruyère Street,45.4349075,-75.6884678,,,,,,,,,,,,
Lindenlea Park,lindenlea-park,Park,,Ottawa,15 Rockcliffe Way,45.4444944,-75.6752616,,,,,,,,,,,,
Jean Sibelius Square,jean-sibelius-square-toronto,Park,,Toronto,50 Kendal Avenue,43.671453,-79.4088086,https://www.toronto.ca/data/parks/prd/facilities/complex/151/index.html,,,,,,,,,,,
Clarence Square,clarence-square-toronto,Park,,Toronto,25 Clarence Square,43.6441235,-79.3936867,,,,,,,,,,,,
Robarts Library,robarts-library-toronto,Library,,Toronto,St George Street,43.6643897,-79.3994442,,,,,,,,,,,,
John M. Kelly Library - St. Michael’s College,john-m-kelly-library---st-michaels-college-toronto,Library,,Toronto,113 St. Joseph Street,43.6648522,-79.3895107,https://library.stmikes.utoronto.ca,+1 4169267114,kelly.library@utoronto.ca,,,,,,,,,
Bruce Pit,bruce-pit,Park,,Ottawa,,45.3232519,-75.7977541,,,,,,,,,,,,
Miles Nadal Jewish Community Centre,miles-nadal-jewish-community-centre-toronto,Community Centre,,Toronto,750 Spadina Avenue,43.6662044,-79.4040275,,,,,,,,,,,,
Gwendolyn MacEwen Parkette,gwendolyn-macewen-parkette-toronto,Park,,Toronto,33 Walmer Road,43.6687112,-79.4062316,,,,,,,,,,,,
St. Alban's Square,st-albans-square-toronto,Park,,Toronto,90 Howland Avenue,43.6685957,-79.4105279,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1102,,,,,,,,,,,
Vermont Square Park,vermont-square-park-toronto,Park,,Toronto,819 Palmerston Avenue,43.6708372,-79.4153943,,,,,,,,,,,,
E. J. Pratt Library - Victoria University,e-j-pratt-library---victoria-university-toronto,Library,,Toronto,71 Queen's Park Crescent East,43.6663202,-79.3912921,https://library.vicu.utoronto.ca,+1-416-585-4470,victoria.library@utoronto.ca,,,,,,,,,
Sir Wilfrid Laurier Park,sir-wilfrid-laurier-park,Park,,Ottawa,288 Chapel Street,45.4276575,-75.678869,,,,,,,,,,,,
Jesse Ketchum Park,jesse-ketchum-park,Park,,Toronto,,43.6723982,-79.3918933,,,,,,,,,,,,
Paul Martel Park,paul-martel-park-toronto,Park,,Toronto,10 Madison Avenue,43.667548,-79.4032132,,,,,,,,,,,,
Highland Creek Ravine,highland-creek-ravine,Park,,Toronto,,43.7732837,-79.1587627,,,,,,,,,,,,
Optimist Park,optimist-park,Park,,Arnprior,,45.4372671,-76.3445815,,,,,,,,,,,,
Assumption Park;Windsor Sculpture Park,assumption-parkwindsor-sculpture-park,Park,,Windsor,,42.3105885,-83.0681244,,,,,,,,,,,,
Dymond Recreation Park,dymond-recreation-park,Park,,Temiskaming Shores,,47.5442014,-79.6691475,,,,,,,,,,,,
Clarke Fields Park,clarke-fields-park-ottawa,Park,,Ottawa,93 Houlahan Street,45.261612,-75.7700513,,,,,,,,,,,,
RIM Park,rim-park-waterloo,Park,,Waterloo,2001 University Avenue East,43.5170362,-80.5023017,,,,,,,,,,,,
Dovercourt Park,dovercourt-park-toronto,Park,,Toronto,155 Bartlett Avenue,43.6652245,-79.43354,https://www.toronto.ca/data/parks/prd/facilities/complex/86/index.html,,,,,,,,,,,
Westmoreland Avenue Parkette,westmoreland-avenue-parkette-toronto,Park,,Toronto,60 Dovercourt Road,43.6615534,-79.4303543,,,,,,,,,,,,
Bell Park,bell-park,Park,,Greater Sudbury,,46.4777024,-80.9888904,,,,,,,,,,,,
Hollinger Park,hollinger-park-timmins,Park,,Timmins,565 Algonquin Boulevard East,48.4751247,-81.3207015,,,,,,,,,,,,
West Toronto Railpath,west-toronto-railpath,Park,,Toronto,,43.658811,-79.4510834,,,,,,,,,,,,
Byron Linear Tramway Park,byron-linear-tramway-park,Park,,Ottawa,579 Byron Avenue,45.383928,-75.7599427,,,,,,,,,,,,
Fisher Rare Book Library,fisher-rare-book-library-toronto,Library,,Toronto,120 St George Street,43.6640748,-79.398977,,,,,,,,,,,,
Science North,science-north-sudbury,Museum,,Sudbury,100 Ramsey Lake Road,46.4713508,-80.9958266,https://sciencenorth.ca,+1-705-522-3701,,,,,,,,,,
Waterdown Memorial Park,waterdown-memorial-park,Park,,Hamilton,,43.3365551,-79.9015648,,,,,,,,,,,,
Sealy Park,sealy-park,Park,,Hamilton,,43.330981,-79.8896503,,,,,,,,,,,,
Gatesbury Park,gatesbury-park,Park,,Hamilton,,43.3424958,-79.8870787,,,,,,,,,,,,
E. T. Seton Park,e-t-seton-park,Park,,Toronto,,43.7094206,-79.3421277,https://www.toronto.ca/data/parks/prd/facilities/complex/1061/index.html,,,,,,,,,,,
Lakeridge Park,lakeridge-park,Park,,Ottawa,764 Lakeridge Drive,45.4463107,-75.4739992,,,,,,,,,,,,
Gage Park,gage-park,Park,,Hamilton,1000 Main Street East,43.2410609,-79.8281336,,,,,,,,,,,,
Eastwood Park,eastwood-park,Park,,Hamilton,,43.272697,-79.8554893,,,,,,,,,,,,
Inverness Park,inverness-park,Park,,Ottawa,76 Inverness Avenue,45.358907,-75.7222801,,,,,,,,,,,,
Clarke Memorial Centre,clarke-memorial-centre,Park,,Ottawa,,45.3840959,-75.6830226,,,,,,,,,,,,
Gore Park,gore-park,Park,,Hamilton,,43.2559636,-79.8672456,,,,,,,,,,,,
Shamrock Park,shamrock-park,Park,,Hamilton,,43.2508256,-79.8640178,,,,,,,,,,,,
Wenderly Park,wenderly-park,Park,,Toronto,,43.711651,-79.4466105,,,,,,,,,,,,
Nicol MacNicol Parkette,nicol-macnicol-parkette-toronto,Park,,Toronto,1 Elm Ridge Circle,43.7040935,-79.4328644,https://www.toronto.ca/data/parks/prd/facilities/complex/140/index.html,,,,,,,,,,,
Breakwater Park,breakwater-park-kingston,Park,,Kingston,200 King Street,44.221685,-76.4981189,,,,,,,,,,,,
Toronto Island Park,toronto-island-park,Park,,Toronto,,43.6202491,-79.3802396,,,,,,,,,,,,
Conservation Meadows Park,conservation-meadows-park-waterloo,Park,,Waterloo,585 Coldstream Drive,43.4948829,-80.5772752,,,,,,,,,,,,
Sheppard's Bush,sheppards-bush,Park,,Aurora,,43.9974907,-79.4527928,,,,,,,,,,,,
Wallace Emerson Community Centre,wallace-emerson-community-centre,Community Centre,,Toronto,1260 Dufferin Street,43.6673495,-79.4393662,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=294,,,,,,,,,,,
Kuntz Park,kuntz-park-kitchener,Park,,Kitchener,290 Lookout Lane,43.4012138,-80.4182799,,,,,,,,,,,,
Voisin Park,voisin-park,Park,,Kitchener,,43.4074509,-80.5138768,,,,,,,,,,,,
Foxglove Park,foxglove-park,Park,,Kitchener,,43.4130763,-80.5253867,,,,,,,,,,,,
Ellacott Lookout,ellacott-lookout,Park,,Cambridge,235 Queen Street East,43.4368244,-80.3038152,,,,,,,,,,,,
Claremont Access Parkettes,claremont-access-parkettes,Park,,Hamilton,65 Wellington Street South,43.2512246,-79.8599718,,,,,,,,,,,,
Bill Hackett Park,bill-hackett-park,Park,,Kingston,,44.2574952,-76.5285131,,,,,,,,,,,,
Megan Park,megan-park,Park,,Toronto,,43.7746133,-79.1733447,,,,,,,,,,,,
Bora Laskin Law Library,bora-laskin-law-library-toronto,Library,,Toronto,78 Queen's Park,43.6657623,-79.3942862,,,,,,,,,,,,
Laurel Greenway,laurel-greenway,Park,,Waterloo,,43.4678421,-80.5175782,,,,,,,,,,,,
Prince Edward Viaduct Parkette,prince-edward-viaduct-parkette-toronto,Park,,Toronto,725 Bloor Street East,43.6741968,-79.3675765,,,,,,,,,,,,
Tweed Memorial Park,tweed-memorial-park,Park,,Tweed,45 Victoria Street South,44.4740671,-77.3073344,https://tweed.ca/parks--p442.php,,,,,,,,,,,
Carabram Park,carabram-park,Park,,Brampton,,43.7626038,-79.7374276,,,,,,,,,,,,
Ira G. Needles Park,ira-g-needles-park,Park,,Waterloo,,43.4786743,-80.5517516,,,,,,,,,,,,
Logan Avenue Parkette,logan-avenue-parkette-toronto,Park,,Toronto,916 Logan Avenue,43.6786467,-79.3503402,,,,,,,,,,,,
Bruce Peninsula National Park,bruce-peninsula-national-park,Park,,Municipality of Northern Bruce Peninsula,,45.1645734,-81.4852965,https://www.pc.gc.ca/en/pn-np/on/bruce,+1-519-596-2233,pc.bruce-fathomfive.pc@canada.ca,,,,,,,,,
Traynor Park,traynor-park-kitchener,Park,,Kitchener,345 Traynor Avenue,43.4200224,-80.4555504,,,,,,,,,,,,
Wembley Parkette,wembley-parkette-toronto,Park,,Toronto,9 Old Park Road,43.7008173,-79.4313854,https://www.toronto.ca/data/parks/prd/facilities/complex/278/index.html,,,,,,,,,,,
Greater Sudbury Heritage Museums,greater-sudbury-heritage-museums,Museum,,Greater Sudbury,,46.4915352,-81.0684363,https://www.sudburymuseums.ca/index.cfm?app=w_vmuseum,,,,,,,,,,,
Sherbourne Common,sherbourne-common-toronto,Park,,Toronto,5 Lower Sherbourne Street,43.644986,-79.3649088,https://www.toronto.ca/data/parks/prd/facilities/complex/1860/index.html,,,,,,,,,,,
Kingston Tennis Club,kingston-tennis-club,Park,,Kingston,,44.2286547,-76.506109,,,,,,,,,,,,
Kingston Lawn Bowling Club,kingston-lawn-bowling-club,Park,,Kingston,,44.2304159,-76.507066,,,,,,,,,,,,
